to P(to | S) = 0.0199661  P(to | H) = 0.0189971
a P(a | S) = 0.0117774  P(a | H) = 0.0120377
your P(your | S) = 0.00610074  P(your | H) = 0.00459866
or P(or | S) = 0.00606812  P(or | H) = 0.00234851
call P(call | S) = 0.00600287  P(call | H) = 0.00236081
you P(you | S) = 0.00587237  P(you | H) = 0.0190955
the P(the | S) = 0.00580713  P(the | H) = 0.0126894
2 P(2 | S) = 0.005644  P(2 | H) = 0.00376254
for P(for | S) = 0.00557876  P(for | H) = 0.00596351
is P(is | S) = 0.00489364  P(is | H) = 0.00805381
on P(on | S) = 0.00450215  P(on | H) = 0.00437734
Call P(Call | S) = 0.00450215  P(Call | H) = 0.00027051
have P(have | S) = 0.00420853  P(have | H) = 0.00432815
now P(now | S) = 0.00404541  P(now | H) = 0.00229933
4 P(4 | S) = 0.00391492  P(4 | H) = 0.00212719
and P(and | S) = 0.00391492  P(and | H) = 0.00912355
from P(from | S) = 0.00381704  P(from | H) = 0.00173372
FREE P(FREE | S) = 0.00365392  P(FREE | H) = 2.45918e-05
ur P(ur | S) = 0.00352342  P(ur | H) = 0.00234851
with P(with | S) = 0.0033603  P(with | H) = 0.00307397
mobile P(mobile | S) = 0.00309931  P(mobile | H) = 0.000159847
of P(of | S) = 0.00306668  P(of | H) = 0.00620942
U P(U | S) = 0.00280569  P(U | H) = 0.00317234
claim P(claim | S) = 0.00257732  P(claim | H) = 1.22959e-05
You P(You | S) = 0.0025447  P(You | H) = 0.00234851
are P(are | S) = 0.0025447  P(are | H) = 0.00393468
our P(our | S) = 0.00251207  P(our | H) = 0.000651682
To P(To | S) = 0.0024142  P(To | H) = 8.60712e-05
Your P(Your | S) = 0.00234895  P(Your | H) = 0.00041806
text P(text | S) = 0.00231633  P(text | H) = 0.000762345
txt P(txt | S) = 0.00231633  P(txt | H) = 8.60712e-05
Txt P(Txt | S) = 0.00231633  P(Txt | H) = 6.14794e-05
in P(in | S) = 0.00225108  P(in | H) = 0.00924651
prize P(prize | S) = 0.00221845  P(prize | H) = 1.22959e-05
free P(free | S) = 0.00202271  P(free | H) = 0.000541019
u P(u | S) = 0.00199008  P(u | H) = 0.00848416
reply P(reply | S) = 0.00192483  P(reply | H) = 0.00027051
